"","District_orig","County","election_id","office_id","candidate_id","candidate_name","first_name","last_name","prefix","suffix","gender","race","ethinicity","age","incumbent"
"44","Cass","Cass","IN_2018-05-08_PRI","DA_Cass_1_1",NA,"Lisa L. Swaim","Lisa","Swaim",NA,NA,NA,NA,NA,NA,NA
"45","Dearborn,Ohio","Dearborn","IN_2018-05-08_PRI","DA_Dearborn_1_1",NA,"Lynn Deddens","Lynn","Deddens",NA,NA,NA,NA,NA,NA,NA
"46","Elkhart","Elkhart","IN_2018-05-08_PRI","DA_Elkhart_1_1",NA,"Martin (Marty) McCloskey","Martin","McCloskey",NA,NA,NA,NA,NA,NA,NA
"47","Decatur","Decatur","IN_2018-05-08_PRI","DA_Decatur_1_1",NA,"Nathan W. Harter IV","Nathan","IV",NA,NA,NA,NA,NA,NA,NA
"48","Carroll","Carroll","IN_2018-05-08_PRI","DA_Carroll_1_1",NA,"Nicholas C. McLeland","Nicholas","McLeland",NA,NA,NA,NA,NA,NA,NA
"49","Crawford","Crawford","IN_2018-05-08_PRI","DA_Crawford_1_1",NA,"Nicholas W. Haverstock","Nicholas","Haverstock",NA,NA,NA,NA,NA,NA,NA
"50","DeKalb","DeKalb","IN_2018-05-08_PRI","DA_DeKalb_1_1",NA,"Robert J. Hardy","Robert","Hardy",NA,NA,NA,NA,NA,NA,NA
"51","Brown","Brown","IN_2018-05-08_PRI","DA_Brown_1_1",NA,"Ted Adams","Ted","Adams",NA,NA,NA,NA,NA,NA,NA
"52","Elkhart","Elkhart","IN_2018-05-08_PRI","DA_Elkhart_1_1",NA,"Vicki Elaine Becker","Vicki","Becker",NA,NA,NA,NA,NA,NA,NA
"53","Bartholomew","Bartholomew","IN_2018-05-08_PRI","DA_Bartholomew_1_1",NA,"William M. (Bill) Nash","William","Nash",NA,NA,NA,NA,NA,NA,NA
"54","Brown","Brown","IN_2018-05-08_PRI","CK2_Brown_1_1",NA,"Brenda Woods","Brenda","Woods",NA,NA,NA,NA,NA,NA,NA
"55","Allen","Allen","IN_2018-05-08_PRI","CK2_Allen_1_1",NA,"Danielle N Andersen","Danielle","Andersen",NA,NA,NA,NA,NA,NA,NA
"56","Allen","Allen","IN_2018-05-08_PRI","CK2_Allen_1_1",NA,"Dave Burgess","Dave","Burgess",NA,NA,NA,NA,NA,NA,NA
"57","Allen","Allen","IN_2018-05-08_PRI","CK2_Allen_1_1",NA,"David Christopher Roach","David","Roach",NA,NA,NA,NA,NA,NA,NA
"58","Allen","Allen","IN_2018-05-08_PRI","CK2_Allen_1_1",NA,"Gina M Burgess","Gina","Burgess",NA,NA,NA,NA,NA,NA,NA
"59","Decatur","Decatur","IN_2018-05-08_PRI","CK2_Decatur_1_1",NA,"KAREN S HIGGINBOTHAM","KAREN","HIGGINBOTHAM",NA,NA,NA,NA,NA,NA,NA
"60","Dubois","Dubois","IN_2018-05-08_PRI","CK2_Dubois_1_1",NA,"KIERSTEN L KNIES","KIERSTEN","KNIES",NA,NA,NA,NA,NA,NA,NA
"61","Crawford","Crawford","IN_2018-05-08_PRI","CK2_Crawford_1_1",NA,"Lisa Stephenson-Holzbog (Busick)","Lisa","(Busick)",NA,NA,NA,NA,NA,NA,NA
"62","Delaware","Delaware","IN_2018-05-08_PRI","CK2_Delaware_1_1",NA,"MIKE KING","MIKE","KING",NA,NA,NA,NA,NA,NA,NA
"63","Clark","Clark","IN_2018-05-08_PRI","CK2_Clark_1_1",NA,"SUSAN  POPP","SUSAN","POPP",NA,NA,NA,NA,NA,NA,NA
"64","Decatur","Decatur","IN_2018-05-08_PRI","CK2_Decatur_1_1",NA,"ADINA A ROBERTS","ADINA","ROBERTS",NA,NA,NA,NA,NA,NA,NA
"65","Dubois","Dubois","IN_2018-05-08_PRI","CK2_Dubois_1_1",NA,"AMY L KIPPENBROCK","AMY","KIPPENBROCK",NA,NA,NA,NA,NA,NA,NA
